#    addons.mozilla.org Statistics for add-on Adblock Plus
#
#    Generated Sun Jun 15 09:23:11 2014 -0700
#    from https://addons.mozilla.org/en-US/firefox/addon/adblock-plus/statistics/sources-day-20140517-20140616.csv
date,count,cb-dl-mostpopular,cb-btn-rating,api,cb-btn-featured,external-abp.o-ru-firefox,cb-hc-toprated,homepagebrowse,hp-dl-promo,external-Add-ons_Manager_Context_Menu-extension,external-abp.o-en,external-abp.o-es,external-abp.o-pt_BR,cb-dl-toprated,cb-dl-name,version-history,cb-dl-created,external-addit,cb-btn-users,external-social,hp-dl-mostpopular,dp-dl-othersby,discovery-pane,external-abp.o-en-installation,external-abp.o-fr-firefox,external-abp.o-nl,cb-hc-featured,external-abp.o-zh_TW,userprofile,hp-hc-upandcoming,external-abp.o-es-firefox,discovery-promo,external-abp.o-fr,cb-dl-hotness,external-abp.o-ar-installation,dp-btn-primary,cb-btn-created,cb-dl-updated,cb-hc-mostpopular,external-abp.o-zh_CN,cb-dl-rating,cb-btn-hotness,dp-dl-dependencies,cb-btn-updated,cb-dl-users+Adblock+Plus+addons.mozilla.org,external-abp.o-sk,discovery-details,cb-dl-users,external-abp.o-es-installation,null,addon-detail-version,category,cb-btn-name,external-abp.o-en-firefox,external-abp.o-ko,hp-dl-featured,addondetail,dp-hc-dependencies,cb-dl-users+,external-abp.o-ru,developers,dp-btn-version,external-abp.o-bg,discovery-learnmore,external-abp.o-hu,external-abp.o-lt,external-abp.o-ar-firefox,collection,hp-hc-featured,external-abp.o-de-firefox,dp-hc-othersby,cb-btn-popular,external-laguaridablog,cb-dl-popular,discovery-promo%3Ddiscovery-upandcoming,external-abp.o-de,search,discovery-featured,cb-dl-featured,cb-dl-us,ss,external-abp.o-zh_CN-firefox,external-abp.o-he-firefox,external-abp.o-pt_BRe,external-denblog,external-abp.o-ru-installation,discovery-dependencies,external-abp.o-he
2014-06-14,204766,949,0,50027,0,0,32,7,2237,0,0,0,0,10,0,241,0,0,0,0,1972,3,0,0,0,0,50,0,168,0,0,0,0,0,0,62015,0,0,2301,0,0,0,48,0,0,0,0,0,0,70153,0,4125,0,0,0,71,27,37,0,0,7,23,0,0,0,0,0,494,118,0,0,0,0,0,0,0,7788,0,122,0,1737,0,0,0,0,0,4,0
2014-06-13,207412,813,0,51840,0,0,17,2,2270,0,0,0,0,4,0,299,0,0,0,0,1888,3,0,0,0,0,43,0,194,0,0,0,0,0,0,61341,0,0,2247,0,0,0,26,0,0,0,0,0,0,73170,0,3508,0,0,0,82,28,31,0,0,8,15,0,0,0,0,0,483,79,0,0,0,0,0,0,0,7297,0,147,0,1571,0,0,0,0,0,6,0
2014-06-12,212851,797,0,53238,0,0,13,3,2405,0,0,0,0,7,0,280,0,0,0,0,1980,5,0,0,0,0,40,0,203,0,0,0,0,0,0,62763,0,0,2364,0,0,0,55,0,0,0,0,0,0,75150,0,3550,0,0,0,82,37,31,0,0,3,32,0,0,0,0,0,539,127,0,10,0,0,0,0,0,7311,0,155,0,1665,0,0,0,0,0,6,0
2014-06-11,208188,1752,115,52859,757,14,19,13,2412,5,15981,5027,1321,12,0,288,0,4,5167,0,2071,4,0,9,0,539,52,71,155,0,0,23429,4441,2,0,59621,0,0,2382,213,34,1,44,3,0,147,0,614,0,5728,0,4078,3,17,2,79,32,31,0,4765,4,38,139,104,508,13,0,525,121,0,4,33,0,4,0,1663,7439,1232,274,0,1701,0,1,1,3,0,22,46
2014-06-10,203761,1588,104,50211,713,5,20,8,2129,11,16010,4962,1310,18,0,259,0,1,4892,0,1842,8,0,4,0,617,25,55,145,0,0,22503,4382,0,2,60232,0,1,2206,190,31,1,57,0,0,111,0,593,1,5688,0,3618,1,10,3,105,28,41,0,4097,8,22,165,114,533,32,0,478,137,0,1,27,0,5,0,1552,6958,2927,276,0,1605,2,2,0,4,1,14,60
2014-06-09,109334,892,49,27630,387,4,15,1,1135,3,8162,2688,793,14,0,152,0,0,2783,0,986,5,0,5,0,347,20,27,86,0,1,12618,2250,0,1,32691,0,0,1294,68,19,0,14,1,0,58,0,319,0,2992,0,1851,1,4,2,48,22,24,0,1735,4,14,79,62,266,19,0,249,114,0,2,17,0,3,0,749,3761,719,160,0,882,0,0,0,1,0,2,34
2014-06-08,82463,708,66,20927,327,3,4,3,897,2,5431,1711,447,10,0,102,0,0,2231,0,767,4,0,4,1,242,18,16,64,0,1,10019,1502,0,0,24473,0,1,1108,67,28,0,23,0,0,42,0,262,0,2131,0,1578,0,1,0,35,10,11,0,1438,1,10,54,45,217,11,0,202,53,0,2,16,0,3,0,489,3057,767,88,0,695,0,0,0,1,0,6,31
2014-06-07,81459,726,52,20984,302,1,8,1,818,1,5538,1731,481,8,2,107,0,1,2239,0,742,2,0,2,0,230,11,22,69,0,0,9501,1618,0,0,23934,1,1,987,56,17,1,10,3,0,32,0,233,0,2271,0,1345,1,3,0,48,14,24,0,1369,0,9,85,45,170,15,0,207,60,1,0,14,0,3,0,491,3026,870,130,0,756,0,0,0,0,0,6,24
2014-06-06,85603,738,54,22589,324,2,12,0,825,5,6066,1828,486,10,0,104,0,2,2228,0,738,2,0,3,0,252,13,28,42,0,1,9954,1810,0,0,24724,0,0,1004,61,20,0,24,0,0,46,0,218,0,2356,1,1295,2,3,1,29,10,16,0,1426,0,18,80,49,166,7,0,219,52,0,2,16,0,2,0,563,2978,1202,104,0,753,0,0,0,1,0,6,33
2014-06-05,153732,1364,97,40872,577,3,18,1,1680,7,10849,3180,813,12,2,320,0,1,3931,1,1383,5,0,5,0,453,23,40,123,0,0,18812,3104,0,2,43775,0,13,1761,95,35,1,36,8,0,68,1,440,0,4389,0,2227,1,7,0,83,15,31,0,2801,4,30,132,81,311,9,0,434,115,2,4,24,0,7,0,1266,5291,972,292,0,1241,0,0,0,0,0,6,46
2014-06-04,162817,1626,87,48094,792,3,19,5,2200,6,3101,1093,313,16,1,363,0,2,4806,0,1664,3,0,3,0,121,16,5,318,0,0,23071,892,0,0,53611,0,10,2201,3,32,0,44,11,0,21,0,517,0,5146,0,2533,1,8,0,94,28,26,0,435,5,26,20,249,54,4,0,435,148,0,2,33,1,10,0,264,5852,670,222,0,1458,2,0,0,2,0,10,9
2014-06-03,152869,1562,98,47009,692,7,21,0,1764,6,111,6,1,4,1,268,0,0,4593,0,1499,4,0,8,0,0,13,0,380,0,0,22313,142,0,1,52406,0,0,2208,0,29,1,42,0,0,0,0,494,0,5207,0,2527,0,10,0,51,19,24,0,5,7,23,0,102,0,0,0,431,110,2,4,33,0,6,1,4,5729,1197,200,0,1474,2,0,0,2,0,16,0
2014-06-02,146882,1500,94,44014,683,5,23,1,1711,4,116,1,1,12,0,228,0,0,4342,0,1415,7,0,1,0,0,17,0,334,0,0,21259,128,0,0,50615,0,0,1973,0,27,0,51,0,0,0,0,460,0,5035,0,2511,0,6,0,74,25,29,0,3,6,29,0,91,0,0,0,446,176,0,4,21,1,7,0,3,5437,2416,166,0,1367,0,0,0,1,0,6,0
2014-06-01,152578,1804,92,43900,690,2,16,4,1960,7,56,7,0,6,0,217,1,2,4849,0,1606,5,0,4,0,1,21,0,220,0,0,22733,139,0,0,53143,0,0,2223,0,55,0,45,1,0,0,0,563,0,4810,0,3095,0,7,0,53,21,33,0,6,3,28,0,115,0,0,0,431,110,1,3,32,0,5,0,2,6161,1560,254,0,1459,0,0,0,1,0,16,0
2014-05-31,149428,1502,105,44021,673,4,17,3,1802,1,117,8,1,12,2,260,0,1,4691,0,1532,9,0,3,0,1,21,0,232,0,0,21494,136,1,0,51923,0,0,2098,0,44,2,34,0,0,0,0,564,0,4678,0,2793,1,7,0,100,29,25,0,0,3,20,0,106,0,0,0,397,156,0,7,39,0,4,0,4,6102,1971,216,0,1441,2,0,0,1,0,12,0
2014-05-30,152645,1576,90,46360,684,6,20,2,1928,0,101,3,0,6,0,241,0,1,4673,0,1525,3,0,2,0,0,17,0,254,0,0,22410,153,0,0,52583,3,0,2264,0,29,3,57,0,0,0,0,492,0,4952,0,2593,2,7,0,65,20,33,0,6,3,21,0,104,0,0,0,449,74,1,3,25,1,8,0,2,5777,1211,216,0,1559,0,0,0,3,0,24,0
2014-05-29,143579,1502,102,42747,642,4,18,3,1883,0,108,1,0,6,0,294,0,1,4240,0,1454,5,0,6,0,1,16,0,200,0,0,21704,117,0,0,49704,0,0,2084,0,34,4,42,1,0,0,0,466,0,4351,0,2625,2,6,0,90,17,32,0,2,7,20,0,98,0,0,0,426,114,0,0,30,0,11,0,2,5478,1297,232,0,1343,0,0,0,1,0,6,0
2014-05-28,93158,918,59,27884,446,4,13,1,1186,0,73,3,0,10,0,176,0,0,2806,0,973,4,0,8,0,1,14,0,138,0,0,13554,74,1,1,32264,0,0,1277,0,19,3,30,0,0,0,0,288,0,2903,0,1746,0,3,0,37,20,13,0,1,4,17,0,68,0,0,0,258,68,0,1,16,0,2,0,2,3693,1085,126,0,862,0,0,0,1,0,4,0
