#    addons.mozilla.org Statistics for add-on Adblock Plus
#
#    Generated Sun Jul  6 01:26:10 2014 -0700
#    from https://addons.mozilla.org/en-US/firefox/addon/adblock-plus/statistics/sources-day-20140606-20140706.csv
date,count,cb-dl-mostpopular,cb-btn-rating,api,cb-btn-featured,external-abp.o-ru-firefox,cb-hc-toprated,homepagebrowse,hp-dl-promo,external-Add-ons_Manager_Context_Menu-extension,external-abp.o-en,oftenusedwith,external-abp.o-es,external-abp.o-pt_BR,cb-dl-toprated,cb-dl-name,version-history,external-addit,cb-btn-users,hp-dl-mostpopular,dp-dl-othersby,external-abp.o-en-installation,external-abp.o-fr-firefox,external-abp.o-nl,cb-hc-featured,external-abp.o-zh_TW,userprofile,external-abp.o-es-firefox,discovery-promo,external-abp.o-fr,cb-dl-hotness,external-abp.o-ar-installation,dp-btn-primary,cb-btn-created,cb-dl-updated,cb-hc-mostpopular,external-abp.o-zh_CN,cb-dl-rating,cb-btn-hotness,dp-dl-dependencies,cb-btn-updated,external-abp.o-sk,cb-dl-users,external-abp.o-es-installation,null,addon-detail-version,category,cb-btn-name,external-abp.o-en-firefox,external-abp.o-ko,hp-dl-featured,addondetail,dp-hc-dependencies,recommended,external-abp.o-ru,developers,homepagepromo,dp-btn-version,external-abp.o-bg,discovery-learnmore,external-abp.o-hu,external-abp.o-lt,collection,hp-hc-featured,external-abp.o-de-firefox,dp-hc-othersby,cb-btn-popular,cb-dl-popular,external-abp.o-de,search,discovery-featured,cb-dl-featured,ss,external-abp.o-zh_CN-firefox,external-abp.o-he-firefox,external-abp.o-pt_BRe,external-denblog,external-abp.o-ru-installation,discovery-dependencies,external-abp.o-he
2014-07-05,186427,762,0,45732,0,0,43,2,1669,0,0,1,0,0,9,0,254,0,0,1743,6,0,0,0,30,0,99,0,0,0,0,0,58590,0,0,1975,0,0,0,40,0,0,0,0,62476,0,3324,0,0,0,72,19,44,4,0,5,1,22,0,0,0,0,502,104,0,4,0,0,0,7136,0,148,1604,0,0,0,0,0,7,0
2014-07-04,187068,650,0,46390,0,0,21,0,1680,0,0,0,0,0,6,0,261,0,0,1757,3,0,0,0,47,0,129,0,0,0,0,0,57727,0,0,1889,0,0,0,47,0,0,0,0,64323,0,3002,0,0,0,60,44,17,0,0,1,0,19,0,0,0,0,547,101,0,1,0,0,0,6607,0,128,1609,0,0,0,0,0,2,0
2014-07-03,194630,742,0,48178,0,0,28,2,1897,0,0,0,0,0,5,0,260,0,0,1796,3,0,0,0,39,0,142,0,0,0,0,0,60248,0,0,1890,0,0,0,42,0,0,0,0,67545,0,2909,0,0,0,96,28,42,0,0,3,0,20,0,0,0,0,496,134,0,2,0,0,0,6430,0,120,1524,0,0,0,0,0,9,0
2014-07-02,195114,783,0,48878,0,0,15,1,2092,0,0,0,0,0,5,0,288,0,0,1754,6,0,0,0,27,0,138,0,0,0,0,0,60396,0,0,2062,0,0,0,42,0,0,0,0,66579,0,2974,0,0,0,88,23,33,0,0,2,0,19,0,0,0,0,516,104,0,4,0,0,0,6461,0,111,1708,0,0,0,0,0,5,0
2014-07-01,192606,697,0,47865,0,0,13,4,2027,0,0,0,0,0,5,0,239,0,0,1705,3,0,0,0,37,0,106,0,0,0,0,0,58861,0,0,1912,0,0,0,48,0,0,0,0,67077,0,2943,0,0,0,83,40,19,0,0,4,0,21,0,0,0,0,497,155,0,4,0,0,0,6635,0,104,1498,0,0,0,0,0,4,0
2014-06-30,194472,791,0,47759,0,0,26,4,2098,0,0,0,0,0,8,0,224,0,0,1759,11,0,0,0,31,0,128,0,0,0,0,0,59886,0,0,2060,0,0,0,60,0,0,0,0,67446,0,2825,0,0,0,98,24,32,0,0,8,0,36,0,0,0,0,549,196,0,5,0,0,0,6697,0,109,1594,0,0,0,0,0,8,0
2014-06-29,200079,860,0,48050,0,0,32,3,2201,0,0,0,0,0,2,0,251,0,0,1759,2,0,0,0,48,0,135,0,0,0,0,0,62309,0,0,2180,0,0,0,52,0,0,0,0,68500,0,3605,0,0,0,94,29,35,0,0,4,0,29,0,0,0,0,545,130,0,2,0,0,0,7425,0,157,1629,0,0,0,0,0,11,0
2014-06-28,193258,836,0,47569,0,0,29,6,2083,0,0,0,0,0,6,0,279,0,0,1855,5,0,0,0,55,0,128,0,0,0,0,0,58224,0,0,2088,0,0,0,43,0,0,0,0,67121,0,3312,0,0,0,42,32,31,0,0,4,0,27,0,0,0,0,552,94,0,4,0,0,0,7151,0,115,1560,0,0,0,0,0,7,0
2014-06-27,194465,805,0,49179,0,0,24,2,1968,0,0,0,0,0,9,0,228,0,0,1805,2,0,0,0,34,0,130,0,0,0,0,0,58357,0,0,2055,0,0,0,34,0,0,0,0,67890,0,2853,0,0,0,80,22,17,0,0,5,0,21,0,0,0,0,527,131,0,2,0,0,0,6485,0,124,1665,0,0,0,0,0,11,0
2014-06-26,199376,763,0,48305,0,0,21,5,1961,0,0,0,0,0,8,0,261,0,0,1780,3,0,0,0,23,0,112,0,0,0,0,0,60653,0,0,2019,0,0,0,16,0,0,0,0,71123,0,2969,0,0,0,63,30,26,0,0,2,0,30,0,0,0,0,510,95,0,2,0,0,0,6928,0,137,1526,0,0,0,0,0,5,0
