#    addons.mozilla.org Statistics for add-on Adblock Plus
#
#    Generated Sun Jun 15 09:21:28 2014 -0700
#    from https://addons.mozilla.org/en-US/firefox/addon/adblock-plus/statistics/os-day-20140517-20140616.csv
date,count,Solaris,Windows,Mac OS X,Linux,BSD,Android
2014-06-14,16423964,679,14624121,831839,690229,1217,275569
2014-06-13,18659552,881,16620738,947256,811994,1332,276999
2014-06-12,22585955,1227,20131948,1142301,985545,1582,322933
2014-06-11,20156800,962,17978447,1020713,874875,1433,279995
2014-06-10,20338715,977,18140868,1027650,885121,1421,280576
2014-06-09,19194526,838,17116288,976764,813163,1342,277245
2014-06-08,16360100,738,14560688,840618,686014,1179,270559
2014-06-07,15732481,737,13998967,801349,668410,1097,261626
2014-06-06,18675836,987,16650645,937060,819428,1348,266008
2014-06-05,19950656,1046,17810347,1003808,867652,1396,266044
2014-06-04,20319526,1057,18133986,1027583,880969,1416,274151
2014-06-03,20442532,1019,18248561,1034514,881697,1413,274948
2014-06-02,20330470,1016,18158108,1023727,871670,1398,274197
2014-06-01,17445523,717,15554673,895310,717789,1211,275506
2014-05-31,16316006,700,14542061,824613,680724,1192,266424
2014-05-30,18848964,905,16825877,941173,806210,1385,273088
2014-05-29,19119071,898,17060958,967817,811270,1339,276451
2014-05-28,20065733,987,17914192,1007682,865604,1398,275525
2014-05-27,20423379,1040,18234804,1026105,883238,1385,276474
2014-05-26,20126226,943,17982414,986357,879055,1406,275709
2014-05-25,17178739,736,15309304,871814,717653,1211,277716
2014-05-24,16379337,734,14584363,828140,692242,1197,272359
2014-05-23,19138902,1060,17066836,960792,836027,1366,272464
2014-05-22,19973804,1118,17810603,1010096,874507,1394,275717
2014-05-21,20093528,1159,17915149,1023062,878408,1427,273956
2014-05-20,20188085,1178,18003866,1025156,882005,1398,274128
2014-05-19,20073627,1167,17910982,1013078,877428,1380,269215
2014-05-18,17380395,759,15486343,895144,721907,1219,274719
2014-05-17,16411858,746,14619987,829886,690604,1197,269153
