#    addons.mozilla.org Statistics for add-on Adblock Plus
#
#    Generated Sun Jul  6 01:24:40 2014 -0700
#    from https://addons.mozilla.org/en-US/firefox/addon/adblock-plus/statistics/os-day-20140606-20140706.csv
date,count,Solaris,Windows,Mac OS X,Linux,BSD,Android
2014-07-05,16071862,633,14323383,792804,675588,1128,278044
2014-07-04,17986193,837,16055311,866388,782539,1325,279452
2014-07-03,19481476,898,17399197,964136,838763,1352,276767
2014-07-02,19874344,947,17752631,990673,850397,1380,277951
2014-07-01,19973553,936,17835051,995782,857013,1402,283006
2014-06-30,20036727,931,17903139,989339,858966,1364,282622
2014-06-29,17469071,634,15573637,885407,721542,1231,286303
2014-06-28,16297103,670,14515333,818163,683222,1153,278267
2014-06-27,18889251,926,16869078,935873,805763,1321,275957
2014-06-26,19678711,955,17561520,981566,850706,1408,282201
2014-06-25,20136458,945,17978657,1006085,865487,1404,283523
2014-06-24,20174550,948,18019333,1012964,856251,1411,283286
2014-06-23,20151510,923,17999615,1001770,864687,1354,282796
2014-06-22,17355788,677,15469971,882761,719131,1210,281719
2014-06-21,16095352,676,14334614,805183,679180,1180,274214
2014-06-20,18700377,873,16679106,931999,807238,1316,279510
2014-06-19,19283025,874,17177092,982162,839103,1340,282117
2014-06-18,19784781,969,17637036,1002895,859927,1372,282227
2014-06-17,20241660,973,18059188,1021044,876555,1391,282143
2014-06-16,20132909,939,17961592,1011653,877743,1397,279216
2014-06-15,17372015,660,15475778,889188,721149,1231,283703
2014-06-14,16423964,679,14624121,831839,690229,1217,275569
2014-06-13,18659552,881,16620738,947256,811994,1332,276999
2014-06-12,22585955,1227,20131948,1142301,985545,1582,322933
2014-06-11,20156800,962,17978447,1020713,874875,1433,279995
2014-06-10,20338715,977,18140868,1027650,885121,1421,280576
2014-06-09,19194526,838,17116288,976764,813163,1342,277245
2014-06-08,16360100,738,14560688,840618,686014,1179,270559
2014-06-07,15732481,737,13998967,801349,668410,1097,261626
2014-06-06,18675836,987,16650645,937060,819428,1348,266008
